danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.865,0.647,5,-7.782,0,0.0716,0.00283,0.431,0.161,0.488,122.01,audio_features,3W5ctwudeucfDZE21emzqG,spotify:track:3W5ctwudeucfDZE21emzqG,https://api.spotify.com/v1/tracks/3W5ctwudeucfDZE21emzqG,https://api.spotify.com/v1/audio-analysis/3W5ctwudeucfDZE21emzqG,336000,4
0.749,0.835,7,-6.419,1,0.0448,0.0371,0.808,0.153,0.626,122.015,audio_features,55C5MsVapkVg3MePuNXLpe,spotify:track:55C5MsVapkVg3MePuNXLpe,https://api.spotify.com/v1/tracks/55C5MsVapkVg3MePuNXLpe,https://api.spotify.com/v1/audio-analysis/55C5MsVapkVg3MePuNXLpe,418500,4
0.776,0.728,1,-8.426,1,0.0528,0.00228,0.819,0.187,0.515,122.0,audio_features,12bU1D9kT3Fnv2WC0dY73X,spotify:track:12bU1D9kT3Fnv2WC0dY73X,https://api.spotify.com/v1/tracks/12bU1D9kT3Fnv2WC0dY73X,https://api.spotify.com/v1/audio-analysis/12bU1D9kT3Fnv2WC0dY73X,196250,4
0.85,0.56,0,-8.1,1,0.0416,0.00667,6.83e-05,0.104,0.5,118.945,audio_features,6ZEibryNgSqjl4kTe2Jgkv,spotify:track:6ZEibryNgSqjl4kTe2Jgkv,https://api.spotify.com/v1/tracks/6ZEibryNgSqjl4kTe2Jgkv,https://api.spotify.com/v1/audio-analysis/6ZEibryNgSqjl4kTe2Jgkv,180355,4
0.694,0.801,9,-5.08,0,0.0434,0.0019,0.000214,0.0959,0.714,127.003,audio_features,6ehKppLo4AqOm7WZydpso6,spotify:track:6ehKppLo4AqOm7WZydpso6,https://api.spotify.com/v1/tracks/6ehKppLo4AqOm7WZydpso6,https://api.spotify.com/v1/audio-analysis/6ehKppLo4AqOm7WZydpso6,207874,4
0.797,0.93,0,-6.647,1,0.0459,0.000246,0.395,0.06,0.467,126.011,audio_features,3nwwzrNmmcTt5nSa5xx2S9,spotify:track:3nwwzrNmmcTt5nSa5xx2S9,https://api.spotify.com/v1/tracks/3nwwzrNmmcTt5nSa5xx2S9,https://api.spotify.com/v1/audio-analysis/3nwwzrNmmcTt5nSa5xx2S9,162020,4
0.845,0.71,0,-7.704,0,0.0495,0.0404,0.0191,0.114,0.636,125.015,audio_features,7IQYnbKrjET0nZbWxbpLpx,spotify:track:7IQYnbKrjET0nZbWxbpLpx,https://api.spotify.com/v1/tracks/7IQYnbKrjET0nZbWxbpLpx,https://api.spotify.com/v1/audio-analysis/7IQYnbKrjET0nZbWxbpLpx,155122,4
0.828,0.864,11,-5.734,1,0.0733,0.000807,0.18,0.0346,0.552,125.003,audio_features,3YEjTarbiv7Z0W2SHVXBF0,spotify:track:3YEjTarbiv7Z0W2SHVXBF0,https://api.spotify.com/v1/tracks/3YEjTarbiv7Z0W2SHVXBF0,https://api.spotify.com/v1/audio-analysis/3YEjTarbiv7Z0W2SHVXBF0,338938,4
0.891,0.865,0,-6.183,1,0.114,0.00266,0.00585,0.0648,0.694,121.988,audio_features,0QrMI79qOhxVmjICelzbyZ,spotify:track:0QrMI79qOhxVmjICelzbyZ,https://api.spotify.com/v1/tracks/0QrMI79qOhxVmjICelzbyZ,https://api.spotify.com/v1/audio-analysis/0QrMI79qOhxVmjICelzbyZ,237941,4
0.714,0.975,2,-4.763,1,0.0557,0.092,0.637,0.0498,0.925,120.041,audio_features,41ytJqlix0Vd3JfKMOH7uh,spotify:track:41ytJqlix0Vd3JfKMOH7uh,https://api.spotify.com/v1/tracks/41ytJqlix0Vd3JfKMOH7uh,https://api.spotify.com/v1/audio-analysis/41ytJqlix0Vd3JfKMOH7uh,192500,4
